T,R
-50,78.6
-49,79.02799999999999
-48,79.45599999999999
-47,79.88399999999999
-46,80.31199999999998
-45,80.73999999999998
-44,81.16799999999998
-43,81.59599999999998
-42,82.02399999999997
-41,82.45199999999997
-40,82.88
-39,83.30799999999999
-38,83.73599999999999
-37,84.16399999999999
-36,84.59199999999998
-35,85.01999999999998
-34,85.44799999999998
-33,85.87599999999998
-32,86.30399999999997
-31,86.73199999999997
-30,87.16
-29,87.588
-28,88.01599999999999
-27,88.44399999999999
-26,88.87199999999999
-25,89.29999999999998
-24,89.72799999999998
-23,90.15599999999998
-22,90.58399999999997
-21,91.01199999999997
-20,91.44
-19,91.868
-18,92.29599999999999
-17,92.72399999999999
-16,93.15199999999999
-15,93.57999999999998
-14,94.00799999999998
-13,94.43599999999998
-12,94.86399999999998
-11,95.29199999999997
-10,95.72
-9,96.148
-8,96.576
-7,97.00399999999999
-6,97.43199999999999
-5,97.85999999999999
-4,98.28799999999998
-3,98.71599999999998
-2,99.14399999999998
-1,99.57199999999997
0,100.0
1,100.428
2,100.856
3,101.28399999999999
4,101.71199999999999
5,102.13999999999999
6,102.56799999999998
7,102.99599999999998
8,103.42399999999998
9,103.85199999999998
10,104.28
11,104.708
12,105.136
13,105.564
14,105.99199999999999
15,106.41999999999999
16,106.84799999999998
17,107.27599999999998
18,107.70399999999998
19,108.13199999999998
20,108.56
21,108.988
22,109.416
23,109.844
24,110.27199999999999
25,110.69999999999999
26,111.12799999999999
27,111.55599999999998
28,111.98399999999998
29,112.41199999999998
30,112.84
31,113.268
32,113.696
33,114.124
34,114.55199999999999
35,114.97999999999999
36,115.40799999999999
37,115.83599999999998
38,116.26399999999998
39,116.69199999999998
40,117.12
41,117.548
42,117.976
43,118.404
44,118.832
45,119.25999999999999
46,119.68799999999999
47,120.11599999999999
48,120.54399999999998
49,120.97199999999998
50,121.4
51,121.828
52,122.256
53,122.684
54,123.112
55,123.53999999999999
56,123.96799999999999
57,124.39599999999999
58,124.82399999999998
59,125.25199999999998
60,125.68
61,126.108
62,126.536
63,126.964
64,127.392
65,127.82
66,128.248
67,128.676
68,129.10399999999998
69,129.53199999999998
70,129.96
71,130.388
72,130.816
73,131.244
74,131.672
75,132.1
76,132.528
77,132.956
78,133.384
79,133.81199999999998
80,134.24
81,134.668
82,135.096
83,135.524
84,135.952
85,136.38
86,136.808
87,137.236
88,137.664
89,138.09199999999998
90,138.52
91,138.948
92,139.376
93,139.804
94,140.232
95,140.66
96,141.088
97,141.516
98,141.944
99,142.37199999999999
100,142.8
