code,resistance
0   ,	45
1   ,	51
2   ,	54
3   ,	61
4   ,	64
5   ,	69
6   ,	73
7   ,	78
8   ,	80
9   ,	86
10  ,	88
11  ,	93
12  ,	96
13  ,	101
14  ,	104
15  ,	108
16  ,	109
17  ,	116
18  ,	119
19  ,	125
20  ,	127
21  ,	132
22  ,	135
23  ,	140
24  ,	143
25  ,	148
26  ,	150
27  ,	155
28  ,	158
29  ,	163
30  ,	166
31  ,	170
32  ,	170
33  ,	176
34  ,	179
35  ,	184
36  ,	187
37  ,	192
38  ,	195
39  ,	200
40  ,	202
41  ,	207
42  ,	210
43  ,	215
44  ,	218
45  ,	223
46  ,	226
47  ,	230
48  ,	232
49  ,	239
50  ,	242
51  ,	247
52  ,	249
53  ,	254
54  ,	257
55  ,	262
56  ,	265
57  ,	270
58  ,	273
59  ,	278
60  ,	281
61  ,	285
62  ,	287
63  ,	291
64  ,	293
65  ,	300
66  ,	302
67  ,	307
68  ,	310
69  ,	315
70  ,	318
71  ,	322
72  ,	325
73  ,	330
74  ,	333
75  ,	338
76  ,	340
77  ,	346
78  ,	348
79  ,	353
80  ,	355
81  ,	356
82  ,	366
83  ,	370
84  ,	373
85  ,	378
86  ,	381
87  ,	386
88  ,	389
89  ,	394
90  ,	397
91  ,	402
92  ,	405
93  ,	409
94  ,	412
95  ,	416
96  ,	417
97  ,	424
98  ,	427
99  ,	432
100 ,	435
101 ,	439
102 ,	442
103 ,	447
104 ,	450
105 ,	455
106 ,	458
107 ,	463
108 ,	466
109 ,	471
110 ,	474
111 ,	478
112 ,	480
113 ,	487
114 ,	490
115 ,	495
116 ,	497
117 ,	502
118 ,	506
119 ,	510
120 ,	512
121 ,	518
122 ,	521
123 ,	526
124 ,	529
125 ,	535
126 ,	538
127 ,	542
128 ,	543
129 ,	550
130 ,	552
131 ,	558
132 ,	560
133 ,	565
134 ,	568
135 ,	573
136 ,	576
137 ,	581
138 ,	584
139 ,	588
140 ,	590
141 ,	595
142 ,	598
143 ,	602
144 ,	602
145 ,	609
146 ,	611
147 ,	616
148 ,	619
149 ,	624
150 ,	627
151 ,	632
152 ,	635
153 ,	640
154 ,	642
155 ,	647
156 ,	650
157 ,	655
158 ,	658
159 ,	662
160 ,	663
161 ,	670
162 ,	672
163 ,	678
164 ,	681
165 ,	685
166 ,	688
167 ,	693
168 ,	696
169 ,	701
170 ,	704
171 ,	709
172 ,	712
173 ,	717
174 ,	720
175 ,	724
176 ,	725
177 ,	731
178 ,	734
179 ,	739
180 ,	741
181 ,	747
182 ,	750
183 ,	755
184 ,	757
185 ,	762
186 ,	765
187 ,	770
188 ,	773
189 ,	778
190 ,	781
191 ,	785
192 ,	786
193 ,	793
194 ,	795
195 ,	800
196 ,	804
197 ,	808
198 ,	810
199 ,	816
200 ,	818
201 ,	825
202 ,	827
203 ,	832
204 ,	836
205 ,	840
206 ,	843
207 ,	848
208 ,	849
209 ,	856
210 ,	859
211 ,	864
212 ,	866
213 ,	871
214 ,	874
215 ,	879
216 ,	881
217 ,	887
218 ,	889
219 ,	894
220 ,	897
221 ,	902
222 ,	905
223 ,	909
224 ,	910
225 ,	917
226 ,	920
227 ,	925
228 ,	927
229 ,	932
230 ,	935
231 ,	940
232 ,	943
233 ,	948
234 ,	951
235 ,	956
236 ,	959
237 ,	964
238 ,	966
239 ,	971
240 ,	973
241 ,	979
242 ,	982
243 ,	987
244 ,	990
245 ,	996
246 ,	998
247 ,	1003
248 ,	1006
249 ,	1011
250 ,	1014
251 ,	1018
252 ,	1021
253 ,	1026
254 ,	1029
255 ,	1034
