T,R,calc,error
-50,803.15,803.150054664723,5.466472305215575e-05
-49,807.11,807.109980620155,1.9379844957256864e-05
-48,811.07,811.07043997669,0.0004399766899041424
-47,815.03,815.0298542183623,0.00014578163768419472
-46,818.99,818.9897486772487,0.00025132275129635673
-45,822.95,822.9499680306906,3.196930947524379e-05
-44,826.91,826.910063976378,6.397637798727374e-05
-43,830.87,830.8699324324325,6.756756749837223e-05
-42,834.83,834.830216535433,0.0002165354329690672
-41,838.79,838.7896825396825,0.00031746031743296044
-40,842.75,842.75,0.0
-39,846.699,846.6990894039735,8.940397356127505e-05
-38,850.648,850.6482712765958,0.00027127659575398866
-37,854.597,854.5970162429378,1.6242937817878556e-05
-36,858.546,858.5457402234637,0.00025977653638165066
-35,862.495,862.4949269480519,7.305194810669491e-05
-34,866.444,866.4440524193549,5.241935491540062e-05
-33,870.393,870.3926282051282,0.0003717948718531261
-32,874.342,874.3421052631579,0.00010526315793413232
-31,878.291,878.2909798534798,2.01465202280815e-05
-30,882.24,882.2397791353384,0.00022086466162818397
-29,886.177,886.17700729927,7.299270009752945e-06
-28,890.114,890.114055907173,5.5907172963998164e-05
-27,894.051,894.0509733606557,2.6639344355317007e-05
-26,897.988,897.9881084070796,0.00010840707955139806
-25,901.925,901.9248491957105,0.00015080428943292645
-24,905.862,905.862145390071,0.00014539007099756418
-23,909.799,909.7990412979351,4.129793512674951e-05
-22,913.736,913.7359324758843,6.7524115706874e-05
-21,917.673,917.6730086750788,8.67507878865581e-06
-20,921.61,921.6101694915254,0.0001694915254120133
-19,925.535,925.5350577731092,5.7773109233494324e-05
-18,929.46,929.4599514563107,4.8543689331381756e-05
-17,933.385,933.3850190839695,1.9083969505118148e-05
-16,937.31,937.3100303951368,3.039513683233963e-05
-15,941.235,941.234756097561,0.00024390243902416842
-14,945.16,945.1597416201117,0.00025837988823695923
-13,949.085,949.085202991453,0.0002029914529657617
-12,953.01,953.0101102941176,0.00011029411757590424
-11,956.935,956.9349315068494,6.849315059298533e-05
-10,960.86,960.8601485148515,0.00014851485150302324
-9,964.774,964.7739955357143,4.4642856664722785e-06
-8,968.688,968.687996031746,3.968253963648749e-06
-7,972.602,972.6019965277778,3.472222147138382e-06
-6,976.516,976.5159970238095,2.9761904443148524e-06
-5,980.43,980.4299782878412,2.171215874113841e-05
-4,984.344,984.343998015873,1.9841270386677934e-06
-3,988.258,988.2579985119048,1.4880952221574262e-06
-2,992.172,992.1719990079365,9.920635193338967e-07
-1,996.086,996.0859995039682,4.960318165103672e-07
0,1000.0,1000.0,0.0
1,1003.902,1003.8985605314961,0.0034394685039842443
2,1007.804,1007.804008152174,8.15217401850532e-06
3,1011.706,1011.7059426229508,5.7377049188289675e-05
4,1015.608,1015.6080163043478,1.6304347809636965e-05
5,1019.51,1019.5100203804348,2.0380434762046207e-05
6,1023.412,1023.4119689542483,3.10457517116447e-05
7,1027.314,1027.3140446768061,4.467680605557689e-05
8,1031.216,1031.2160326086955,3.260869561927393e-05
