,T,R,calc,error
0,-50,80.31,80.30985169491525,0.00014830508474972248
1,-49,80.705,80.70459905660377,0.0004009433962295361
2,-48,81.1,81.09995860927152,4.139072846953695e-05
3,-47,81.495,81.49467719780219,0.00032280219781455344
4,-46,81.89,81.89006024096386,6.024096386170186e-05
5,-45,82.29,82.29022790055248,0.0002279005524741251
6,-44,82.69,82.69013554216868,0.00013554216867817104
7,-43,83.085,83.08531746031747,0.000317460317475593
8,-42,83.48,83.48034274193549,0.00034274193548355925
9,-41,83.875,83.875,0.0
10,-40,84.27,84.27000988142292,9.881422926127925e-06
11,-39,84.665,84.66528096330275,0.0002809633027425207
12,-38,85.06,85.06000905797102,9.057971013248789e-06
13,-37,85.455,85.45496323529412,3.6764705882319504e-05
14,-36,85.85,85.8502094972067,0.00020949720671126215
15,-35,86.245,86.24507874015748,7.874015747688645e-05
16,-34,86.64,86.63974719101124,0.00025280898876189895
17,-33,87.035,87.03497023809524,2.9761904755787327e-05
18,-32,87.43,87.42977528089887,0.00022471910114063576
19,-31,87.825,87.8249737394958,2.6260504199626666e-05
20,-30,88.22,88.21997549019608,2.4509803921546336e-05
21,-29,88.615,88.61607142857143,0.0010714285714357175
22,-28,89.01,89.00983146067416,0.00016853932584126596
23,-27,89.405,89.40484550561797,0.00015449438203063437
24,-26,89.8,89.79985955056179,0.00014044943820579192
25,-25,90.195,90.19510582010582,0.00010582010582993462
26,-24,90.59,90.58988764044943,0.00011235955057031788
27,-23,90.98,90.97960992907801,0.00039007092199483395
28,-22,91.37,91.36926775147928,0.000732248520719736
29,-21,91.765,91.76587301587301,0.0008730158730116955
30,-20,92.16,92.1600188442211,1.8844221102654046e-05
31,-19,92.555,92.55514705882354,0.00014705882352927802
32,-18,92.95,92.94992469879517,7.530120483068004e-05
33,-17,93.34,93.33967962184875,0.0003203781512581827
34,-16,93.73,93.72996794871796,3.205128204797347e-05
35,-15,94.125,94.12600267379679,0.001002673796790532
36,-14,94.52,94.52024647887325,0.00024647887325102147
37,-13,94.91,94.91027227722772,0.00027227722772238394
38,-12,95.3,95.2990301724138,0.0009698275862035644
39,-11,95.695,95.69502074688796,2.0746887969380623e-05
40,-10,96.09,96.08988242574257,0.00011757425743041949
41,-9,96.48,96.48017473118279,0.00017473118278132915
42,-8,96.87,96.8702362804878,0.00023628048779755773
43,-7,97.26,97.26068037974683,0.0006803797468251105
44,-6,97.65,97.65625,0.006249999999994316
