T,R
-50,803.15
-49,807.11
-48,811.07
-47,815.03
-46,818.99
-45,822.95
-44,826.91
-43,830.87
-42,834.83
-41,838.79
-40,842.75
-39,846.699
-38,850.648
-37,854.597
-36,858.546
-35,862.495
-34,866.444
-33,870.393
-32,874.342
-31,878.291
-30,882.24
-29,886.177
-28,890.114
-27,894.051
-26,897.988
-25,901.925
-24,905.862
-23,909.799
-22,913.736
-21,917.673
-20,921.61
-19,925.535
-18,929.46
-17,933.385
-16,937.31
-15,941.235
-14,945.16
-13,949.085
-12,953.01
-11,956.935
-10,960.86
-9 ,964.774
-8 ,968.688
-7 ,972.602
-6 ,976.516
-5 ,980.43
-4 ,984.344
-3 ,988.258
-2 ,992.172
-1 ,996.086
0  ,1000.0
1  ,1003.902
2  ,1007.804
3  ,1011.706
4  ,1015.608
5  ,1019.51
6  ,1023.412
7  ,1027.314
8  ,1031.216
9  ,1035.118
10 ,1039.02
11 ,1042.911
12 ,1046.802
13 ,1050.693
14 ,1054.584
15 ,1058.475
16 ,1062.366
17 ,1066.257
18 ,1070.148
19 ,1074.039
20 ,1077.93
21 ,1081.809
22 ,1085.688
23 ,1089.567
24 ,1093.446
25 ,1097.325
26 ,1101.204
27 ,1105.083
28 ,1108.962
29 ,1112.841
30 ,1116.72
31 ,1120.587
32 ,1124.454
33 ,1128.321
34 ,1132.188
35 ,1136.055
36 ,1139.922
37 ,1143.789
38 ,1147.656
39 ,1151.523
40 ,1155.39
41 ,1159.246
42 ,1163.102
43 ,1166.958
44 ,1170.814
45 ,1174.67
46 ,1178.526
47 ,1182.382
48 ,1186.238
49 ,1190.094
50 ,1193.95
51 ,1197.794
52 ,1201.638
53 ,1205.482
54 ,1209.326
55 ,1213.17
56 ,1217.014
57 ,1220.858
58 ,1224.702
59 ,1228.546
60 ,1232.39
61 ,1236.223
62 ,1240.056
63 ,1243.889
64 ,1247.722
65 ,1251.555
66 ,1255.388
67 ,1259.221
68 ,1263.054
69 ,1266.887
70 ,1270.72
71 ,1274.541
72 ,1278.362
73 ,1282.183
74 ,1286.004
75 ,1289.825
76 ,1293.646
77 ,1297.467
78 ,1301.288
79 ,1305.109
80 ,1308.93
81 ,1312.739
82 ,1316.548
83 ,1320.357
84 ,1324.166
85 ,1327.975
86 ,1331.784
87 ,1335.593
88 ,1339.402
89 ,1343.211
90 ,1347.02
91 ,1350.818
92 ,1354.616
93 ,1358.414
94 ,1362.212
95 ,1366.01
96 ,1369.808
97 ,1373.606
98 ,1377.404
99 ,1381.202
100,1385.0
