T,R
-50,	401.57
-48,	405.532
-46,	409.494
-44,	413.456
-42,	417.418
-40,	421.38
-38,	425.328
-36,	429.276
-34,	433.224
-32,	437.172
-30,	441.12
-28,	445.056
-26,	448.992
-24,	452.928
-22,	456.864
-20,	460.8
-18,	464.726
-16,	468.652
-14,	472.578
-12,	476.504
-10,	480.43
-8 ,	484.344
-6 ,	488.258
-4 ,	492.172
-2 ,	496.086
0  ,	500
2  ,	503.902
4  ,	507.804
6  ,	511.706
8  ,	515.608
10 ,	519.51
12 ,	523.4
14 ,	527.29
16 ,	531.18
18 ,	535.07
20 ,	538.96
22 ,	542.84
24 ,	546.72
26 ,	550.6
28 ,	554.48
30 ,	558.36
32 ,	562.228
34 ,	566.096
36 ,	569.964
38 ,	573.832
40 ,	577.7
42 ,	581.556
44 ,	585.412
46 ,	589.268
48 ,	593.124
50 ,	596.98
52 ,	600.824
54 ,	604.668
56 ,	608.512
58 ,	612.356
60 ,	616.2
62 ,	620.032
64 ,	623.864
66 ,	627.696
68 ,	631.528
70 ,	635.36
72 ,	639.612
74 ,	643.444
76 ,	647.276
78 ,	651.108
80 ,	654.46
82 ,	658.27
84 ,	662.08
86 ,	665.89
88 ,	669.7
90 ,	673.51
92 ,	677.308
94 ,	681.106
96 ,	684.904
98 ,	688.702
100,	692.5
