T,R,calc,error
-50,401.57,401.5698702830189,0.0001297169811209642
-49,403.551,403.5511363636364,0.0001363636363862497
-48,405.532,405.5319393382353,6.0661764678116015e-05
-47,407.513,407.51274546827796,0.00025453172202105634
-46,409.494,409.49388586956525,0.0001141304347811456
-45,411.475,411.4749840153453,1.5984654737621895e-05
-44,413.456,413.4559394409938,6.0559006215044064e-05
-43,415.437,415.4369212962963,7.870370370710589e-05
-42,417.418,417.4179993472585,6.527415052914876e-07
-41,419.399,419.39899114173227,8.858267733558023e-06
-40,421.38,421.38002996575347,2.996575346969621e-05
-39,423.354,423.3540655339806,6.553398060304971e-05
-38,425.328,425.32803867403317,3.8674033191909984e-05
-37,427.302,427.3020038167939,3.816793878286262e-06
-36,429.276,429.27631578947364,0.0003157894736318667
-35,431.25,431.25,0.0
-34,433.224,433.2239275147929,7.248520711300444e-05
-33,435.198,435.1987348942598,0.0007348942598355279
-32,437.172,437.17199427480915,5.725190874272812e-06
-31,439.146,439.1460298742138,2.9874213794300886e-05
-30,441.12,441.1198680351906,0.0001319648093840442
-29,443.088,443.08786434977577,0.00013565022425154893
-28,445.056,445.05588503649636,0.000114963503619947
-27,447.024,447.0240012886598,1.288659802867187e-06
-26,448.992,448.99200197889184,1.978891816634132e-06
-25,450.96,450.9600903614458,9.036144581386907e-05
-24,452.928,452.9280462184874,4.621848739816414e-05
-23,454.896,454.89558995327104,0.00041004672897315686
-22,456.864,456.86405642023345,5.64202334771835e-05
-21,458.832,458.8319359756098,6.402439021258033e-05
-20,460.8,460.7999559859155,4.401408449439259e-05
-19,462.763,462.763033919598,3.3919598024567676e-05
-18,464.726,464.7261705685619,0.00017056856188446545
-17,466.689,466.6890337423313,3.374233125441606e-05
-16,468.652,468.65199372759855,6.272401435580832e-06
-15,470.615,470.6149193548387,8.064516129024923e-05
-14,472.578,472.578125,0.00012500000002546585
-13,474.541,474.54097762645915,2.2373540844000672e-05
-12,476.504,476.5039794007491,2.059925094499704e-05
-11,478.467,478.46703980099505,3.980099506861734e-05
-10,480.43,480.4299782878412,2.171215879798183e-05
-9,482.387,482.38699776785717,2.2321428332361393e-06
-8,484.344,484.343998015873,1.9841269818243745e-06
-7,486.301,486.3009982638889,1.736111073569191e-06
-6,488.258,488.25799851190476,1.4880952221574262e-06
-5,490.215,490.2150371287129,3.712871290417752e-05
-4,492.172,492.1719990079365,9.920635193338967e-07
-3,494.129,494.1289992559524,7.440476110787131e-07
-2,496.086,496.08599950396825,4.960317596669483e-07
-1,498.043,498.04242596810934,0.000574031890664628
0,500.0,500.0,0.0
1,501.951,501.953125,0.002124999999978172
2,503.902,503.89856053149606,0.003439468503927401
3,505.853,505.8531349840256,0.00013498402557843292
4,507.804,507.80400815217394,8.152173961661902e-06
5,509.755,509.7550101902174,1.0190217381023103e-05
6,511.706,511.70594262295083,5.7377049188289675e-05
7,513.657,513.656965648855,3.4351145018263196e-05
8,515.608,515.6080163043478,1.6304347809636965e-05
9,517.559,517.5591626213592,0.0001626213592089698
10,519.51,519.5100203804348,2.0380434762046207e-05
11,521.455,521.455223880597,0.0002238805969909663
12,523.4,523.4000599041533,5.990415331780241e-05
13,525.345,525.3449378654971,6.213450296854717e-05
14,527.29,527.289994266055,5.733944931307633e-06
15,529.235,529.235197368421,0.00019736842102702212
16,531.18,531.1799327354261,6.726457388595009e-05
17,533.125,533.125,0.0
18,535.07,535.0699240331492,7.596685088628874e-05
19,537.015,537.0151728295821,0.00017282958208397758
20,538.96,538.9602421465969,0.0002421465968609482
21,540.9,540.8999794407895,2.0559210497594904e-05
22,542.84,542.8399725274726,2.7472527449390327e-05
23,544.78,544.7800279329608,2.7932960847465438e-05
24,546.72,546.7201266519824,0.00012665198232753028
25,548.66,548.6599751655629,2.4834437112986052e-05
26,550.6,550.6000322164948,3.221649478746258e-05
27,552.54,552.5398406374502,0.00015936254976622877
28,554.48,554.4800884955753,8.849557525536511e-05
29,556.42,556.4199790794979,2.0920502038279665e-05
30,558.36,558.3603087649402,0.00030876494020048995
31,560.294,560.2941176470588,0.00011764705880068504
