temp,value
-260,	0.40
-250,	1.02
-200,	17.245128
-195,	19.436918
-190,	21.619587
-185,	23.793416
-180,	25.958683
-175,	28.115657
-170,	30.264600
-165,	32.405770
-160,	34.539416
-155,	36.665783
-150,	38.785106
-145,	40.897617
-140,	43.003540
-135,	45.103092
-130,	47.196485
-125,	49.283922
-120,	51.365603
-115,	53.441719
-110,	55.512455
-105,	57.577989
-100,	59.638494
-95 ,	61.694135
-90 ,	63.745072
-85 ,	65.791457
-80 ,	67.833436
-75 ,	69.871149
-70 ,	71.904729
-65 ,	73.934303
-60 ,	75.959990
-55 ,	77.981906
-50 ,	80.000156
-45 ,	82.014841
-40 ,	84.026056
-35 ,	86.033888
-30 ,	88.038419
-25 ,	90.039723
-20 ,	92.037868
-15 ,	94.032917
-10 ,	96.024923
-5  ,	98.013937
0   ,	100.000000
5   ,	101.983143
10  ,	103.963371
15  ,	105.940685
20  ,	107.915084
25  ,	109.886569
30  ,	111.855139
35  ,	113.820795
40  ,	115.783536
45  ,	117.743363
50  ,	119.700275
55  ,	121.654273
60  ,	123.605356
65  ,	125.553525
70  ,	127.498779
75  ,	129.441119
80  ,	131.380544
85  ,	133.317055
90  ,	135.250651
95  ,	137.181333
100 ,	139.109100
105 ,	141.033953
110 ,	142.955891
115 ,	144.874915
120 ,	146.791024
125 ,	148.704219
130 ,	150.614499
135 ,	152.521865
140 ,	154.426316
145 ,	156.327853
150 ,	158.226475
155 ,	160.122183
160 ,	162.014976
165 ,	163.904855
170 ,	165.791819
175 ,	167.675869
180 ,	169.557004
185 ,	171.435225
190 ,	173.310531
195 ,	175.182923
200 ,	177.052400
205 ,	178.918963
210 ,	180.782611
215 ,	182.643345
220 ,	184.501164
225 ,	186.356069
230 ,	188.208059
235 ,	190.057135
240 ,	191.903296
245 ,	193.746543
250 ,	195.586875
255 ,	197.424293
260 ,	199.258796
265 ,	201.090385
270 ,	202.919059
275 ,	204.744819
280 ,	206.567664
285 ,	208.387595
290 ,	210.204611
295 ,	212.018713
300 ,	213.829900
305 ,	215.638173
310 ,	217.443531
315 ,	219.245975
320 ,	221.045504
325 ,	222.842119
330 ,	224.635819
335 ,	226.426605
340 ,	228.214476
345 ,	229.999433
350 ,	231.781475
355 ,	233.560603
360 ,	235.336816
365 ,	237.110115
370 ,	238.880499
375 ,	240.647969
380 ,	242.412524
385 ,	244.174165
390 ,	245.932891
395 ,	247.688703
400 ,	249.441600
405 ,	251.191583
410 ,	252.938651
415 ,	254.682805
420 ,	256.424044
425 ,	258.162369
430 ,	259.897779
435 ,	261.630275
440 ,	263.359856
445 ,	265.086523
450 ,	266.810275
455 ,	268.531113
460 ,	270.249036
465 ,	271.964045
470 ,	273.676139
475 ,	275.385319
480 ,	277.091584
485 ,	278.794935
490 ,	280.495371
495 ,	282.192893
500 ,	283.887500
505 ,	285.579193
510 ,	287.267971
515 ,	288.953835
520 ,	290.636784
525 ,	292.316819
530 ,	293.993939
535 ,	295.668145
540 ,	297.339436
545 ,	299.007813
550 ,	300.673275
555 ,	302.335823
560 ,	303.995456
565 ,	305.652175
570 ,	307.305979
575 ,	308.956869
580 ,	310.604844
585 ,	312.249905
590 ,	313.892051
595 ,	315.531283
600 ,	317.048440
605 ,	318.679848
610 ,	320.308326
615 ,	321.933872
620 ,	323.556488
625 ,	325.176172
630 ,	326.792925
635 ,	328.406747
640 ,	330.017638
645 ,	331.625598
650 ,	333.230628
655 ,	334.832725
660 ,	336.431892
665 ,	338.028128
670 ,	339.621433
675 ,	341.211807
680 ,	342.799250
685 ,	344.383761
690 ,	345.965342
695 ,	347.543991
700 ,	349.119710
705 ,	350.692497
710 ,	352.262354
715 ,	353.829279
720 ,	355.393274
725 ,	356.954337
730 ,	358.512469
735 ,	360.067670
740 ,	361.619940
745 ,	363.169279
750 ,	364.715688
755 ,	366.259164
760 ,	367.799710
765 ,	369.337325
770 ,	370.872009
775 ,	372.403762
780 ,	373.932584
785 ,	375.458474
790 ,	376.981434
795 ,	378.501462
800 ,	380.018560
805 ,	381.532726
810 ,	383.043962
815 ,	384.552266
820 ,	386.057640
825 ,	387.560082
830 ,	389.059593
835 ,	390.556173
840 ,	392.049822
845 ,	393.540540
850 ,	395.028328
855 ,	396.513183
860 ,	397.995108
865 ,	399.474102
870 ,	400.950165
875 ,	402.423297
880 ,	403.893498
885 ,	405.360767
890 ,	406.825106
895 ,	408.286513
900 ,	409.744990
905 ,	411.200535
910 ,	412.653150
915 ,	414.102833
920 ,	415.549586
925 ,	416.993407
930 ,	418.434297
935 ,	419.872256
940 ,	421.307284
945 ,	422.739381
950 ,	424.168548
955 ,	425.594782
960 ,	427.018086
965 ,	428.438459
970 ,	429.855901
975 ,	431.270412
980 ,	432.681992
985 ,	434.090640
990 ,	435.496358
995 ,	436.899144
1000,	438.299000
1005,	439.695924
1010,	441.089918
1015,	442.480980
1020,	443.869112
1025,	445.254312
1030,	446.636581
1035,	448.015919
1040,	449.392326
1045,	450.765802
1050,	452.136348
1055,	453.503961
1060,	454.868644
1065,	456.230396
1070,	457.589217
1075,	458.945107
1080,	460.298066
1085,	461.648093
1090,	462.995190
1095,	464.339355
1100,	465.680590
