temp,value
-200,7.95
-190,9.96
-180,11.95
-170,13.93
-160,15.90
-150,17.85
-140,19.79
-130,21.72
-120,23.63
-110,25.54
-100,27.44
-90,29.33
-80,31.21
-70,33.08
-60,34.94
-50,36.80
-40,38.65
-30,40.50
-20,42.34
-10,44.17
0,46.00
10,47.82
20,49.64
30,51.45
40,53.26
50,55.06
60,56.86
70,58.65
80,60.43
90,62.21
100,63.99
110,65.76
120,67.52
130,69.28
140,71.03
150,72.78
160,74.52
170,76.26
180,77.99
190,79.71
200,81.43
210,83.15
220,84.86
230,86.56
240,88.26
250,89.96
260,91.64
270,93.33
280,95.00
290,96.68
300,98.34
310,100.01
320,101.66
330,103.31
340,104.96
350,106.60
360,108.23
370,109.86
380,111.48
390,113.10
400,114.72
410,116.32
420,117.93
430,119.52
440,121.11
450,122.70
460,124.28
470,125.86
480,127.43
490,128.99
500,130.55
510,132.10
520,133.65
530,135.20
540,136.73
550,138.27
560,139.79
570,141.32
580,142.83
590,144.34
600,145.85
610,147.35
620,148.84
630,150.33
640,151.81
650,153.30
