T,R,calc,error,R1_code,R2_code,R1,R2
-50,39.3,39.29435,0.005649999999995714,0,113,42.79,481.0
-49,39.514,39.50743,0.0065700000000035175,0,122,42.79,515.0
-48,39.728,39.7224,0.00560000000000116,100,0,482.0,43.29
-47,39.94199999999999,39.94127,0.0007299999999901274,7,10,76.49,83.59
-46,40.15599999999999,40.1547,0.0012999999999934175,12,6,98.29,67.89
-45,40.36999999999999,40.37059,0.0005900000000096384,0,174,42.79,714.0
-44,40.58399999999999,40.58344,0.0005599999999859051,0,193,42.79,787.0
-43,40.79799999999999,40.79696,0.0010399999999890497,0,216,42.79,875.9
-42,41.01199999999999,41.00852,0.003479999999996153,0,244,42.79,985.0
-41,41.22599999999999,41.22676,0.0007600000000067553,187,0,865.0,43.29
-40,41.44,41.44056,0.000560000000000116,211,0,970.0,43.29
-39,41.654,41.65212,0.0018800000000069872,1,57,49.49,263.0
-38,41.868,41.86188,0.00612000000000279,50,1,262.9,49.79
-37,42.082,42.08369,0.0016899999999964166,52,1,271.9,49.79
-36,42.29599999999999,42.29569,0.0003099999999918168,54,1,281.0,49.79
-35,42.50999999999999,42.5019,0.00809999999999178,1,67,49.49,301.0
-34,42.72399999999999,42.73361,0.009610000000009222,13,7,103.29,72.89
-33,42.93799999999999,42.9396,0.001600000000010482,43,2,234.0,52.59
-32,43.15199999999999,43.1508,0.0011999999999900979,2,48,53.39,225.0
-31,43.36599999999999,43.35903,0.00696999999999548,1,80,49.49,350.0
-30,43.58,43.56791,0.0120900000000006,4,26,62.3,144.9
-29,43.794,43.79893,0.004930000000001655,73,1,364.0,49.79
-28,44.008,44.00044,0.007560000000005118,7,14,76.49,103.59
-27,44.222,44.23591,0.013909999999995648,2,56,53.39,258.0
-26,44.43599999999999,44.43367,0.002329999999993504,3,37,58.39,185.9
-25,44.64999999999999,44.65425,0.004250000000006082,1,107,49.49,457.0
-24,44.86399999999999,44.86384,0.00015999999998683734,4,30,62.3,160.3
-23,45.07799999999999,45.07206,0.005939999999988288,1,119,49.49,504.9
-22,45.29199999999999,45.2953,0.0033000000000100727,8,14,80.49,103.59
-21,45.50599999999999,45.50242,0.003579999999992367,2,69,53.39,308.0
-20,45.72,45.72459,0.004590000000000316,118,1,560.0,49.79
-19,45.934,45.9273,0.006699999999995043,125,1,592.0,49.79
-18,46.148,46.14625,0.0017500000000012506,1,166,49.49,683.0
-17,46.362,46.36041,0.0015900000000002024,4,36,62.3,181.2
-16,46.57599999999999,46.57244,0.0035599999999931242,1,194,49.49,790.0
-15,46.78999999999999,46.7916,0.001600000000010482,167,1,777.0,49.79
-14,47.00399999999999,47.00215,0.0018499999999903594,1,231,49.49,935.0
-13,47.21799999999999,47.21688,0.001119999999986021,1,255,49.49,1028.0
-12,47.43199999999999,47.43078,0.0012199999999893407,218,1,1001.0,49.79
-11,47.64599999999999,47.64139,0.004609999999985348,242,1,1104.0,49.79
-10,47.86,47.85898,0.0010199999999969123,111,2,532.0,52.59
-9,48.074,48.07522,0.0012200000000035516,118,2,560.0,52.59
-8,48.288,48.28424,0.0037599999999997635,2,119,53.39,504.9
-7,48.502,48.50231,0.00030999999999892225,4,46,62.3,219.0
-6,48.716,48.71714,0.0011399999999994748,23,7,146.9,72.89
-5,48.92999999999999,48.93161,0.0016100000000065506,66,3,332.0,57.39
-4,49.14399999999999,49.14402,2.0000000006348273e-05,161,2,750.0,52.59
-3,49.35799999999999,49.35587,0.0021299999999868646,3,72,58.39,319.0
-2,49.57199999999999,49.57393,0.001930000000008647,73,3,364.0,57.39
-1,49.78599999999999,49.79209,0.006090000000014584,203,2,935.9,52.59
0,50.0,49.99939,0.0006100000000017758,221,2,1015.0,52.59
1,50.214,50.2172,0.0031999999999996476,244,2,1113.0,52.59
