,T,R,calc,error,R1_code,R2_code,R3_code,R1,R2,R3
0,-50,39.3,39.29924,0.0007599999999996498,24,7,3,97.65625,31.25,15.625
1,-49,39.514,39.51322,0.0007800000000059981,18,6,4,74.21875,27.34375,19.53125
2,-48,39.728,39.72458,0.0034199999999984243,51,6,3,203.125,27.34375,15.625
3,-47,39.94199999999999,39.94065,0.0013499999999950774,118,9,0,464.84375,39.0625,3.90625
4,-46,40.15599999999999,40.15625,0.00025000000000829914,43,5,4,171.875,23.4375,19.53125
5,-45,40.36999999999999,40.37526,0.005260000000006926,112,8,1,441.40625,35.15625,7.8125
6,-44,40.58399999999999,40.58528,0.0012800000000083855,52,5,4,207.03125,23.4375,19.53125
7,-43,40.79799999999999,40.79861,0.0006100000000088812,169,9,0,664.0625,39.0625,3.90625
8,-42,41.01199999999999,41.01562,0.0036200000000050636,189,9,0,742.1875,39.0625,3.90625
9,-41,41.22599999999999,41.22489,0.0011099999999899524,213,9,0,835.9375,39.0625,3.90625
10,-40,41.44,41.44022,0.00021999999999877673,197,8,1,773.4375,35.15625,7.8125
11,-39,41.654,41.6545,0.000499999999995282,100,5,4,394.53125,23.4375,19.53125
12,-38,41.868,41.86743,0.0005700000000032901,218,7,2,855.46875,31.25,11.71875
13,-37,42.082,42.08261,0.0006100000000017758,208,6,3,816.40625,27.34375,15.625
14,-36,42.29599999999999,42.2959,9.99999999891088e-05,202,5,4,792.96875,23.4375,19.53125
15,-35,42.50999999999999,42.51027,0.000270000000007542,207,4,5,812.5,19.53125,23.4375
16,-34,42.72399999999999,42.72365,0.0003499999999903025,250,3,6,980.46875,15.625,27.34375
17,-33,42.93799999999999,42.93799,9.999999988963282e-06,125,0,9,492.1875,3.90625,39.0625
18,-32,43.15199999999999,43.15257,0.0005700000000103955,75,8,2,296.875,35.15625,11.71875
19,-31,43.36599999999999,43.35938,0.0066199999999909664,80,8,2,316.40625,35.15625,11.71875
20,-30,43.58,43.5791,0.0009000000000014552,86,8,2,339.84375,35.15625,11.71875
21,-29,43.794,43.79112,0.002879999999997551,25,11,2,101.5625,46.875,11.71875
22,-28,44.008,44.01042,0.002420000000000755,153,10,0,601.5625,42.96875,3.90625
23,-27,44.222,44.2217,0.00030000000000285354,46,5,5,183.59375,23.4375,23.4375
24,-26,44.43599999999999,44.43359,0.0024099999999904753,149,9,1,585.9375,39.0625,7.8125
25,-25,44.64999999999999,44.64935,0.000649999999993156,78,6,4,308.59375,27.34375,19.53125
26,-24,44.86399999999999,44.8637,0.0002999999999886427,223,10,0,875.0,42.96875,3.90625
27,-23,45.07799999999999,45.07783,0.00016999999999001147,251,10,0,984.375,42.96875,3.90625
28,-22,45.29199999999999,45.29272,0.000720000000015375,149,7,3,585.9375,31.25,15.625
29,-21,45.50599999999999,45.50528,0.0007199999999940587,221,8,2,867.1875,35.15625,11.71875
30,-20,45.72,45.72195,0.0019500000000007844,158,6,4,621.09375,27.34375,19.53125
31,-19,45.934,45.93461,0.0006100000000017758,42,10,2,167.96875,42.96875,11.71875
32,-18,46.148,46.14826,0.0002599999999972624,81,3,7,320.3125,15.625,31.25
33,-17,46.362,46.3627,0.0006999999999948159,117,3,7,460.9375,15.625,31.25
34,-16,46.57599999999999,46.57596,3.9999999991380264e-05,204,3,7,800.78125,15.625,31.25
35,-15,46.78999999999999,46.79008,8.000000001118224e-05,181,1,9,710.9375,7.8125,39.0625
36,-14,47.00399999999999,47.00608,0.002080000000006521,136,11,0,535.15625,46.875,3.90625
37,-13,47.21799999999999,47.22112,0.0031200000000097816,145,11,0,570.3125,46.875,3.90625
