T,R,calc,error,code,R1_code,R2_code,R3_code,R1,R2,R3
-50,80.31,80.30985,0.00015000000000497948,"[46, 11, 10]",46,11,10,183.59375,46.875,42.96875
-49,80.705,80.7046,0.00039999999999906777,"[99, 5, 14]",99,5,14,390.625,23.4375,58.59375
-48,81.1,81.09996,3.999999999848569e-05,"[144, 5, 14]",144,5,14,566.40625,23.4375,58.59375
-47,81.495,81.49468,0.0003200000000020964,"[176, 4, 15]",176,4,15,691.40625,19.53125,62.5
-46,81.89,81.89006,6.0000000004833964e-05,"[245, 2, 17]",245,2,17,960.9375,11.71875,70.3125
-45,82.29,82.29023,0.00022999999998774,"[167, 12, 8]",167,12,8,656.25,50.78125,35.15625
-44,82.69,82.69014,0.00014000000000180535,"[60, 21, 4]",60,21,4,238.28125,85.9375,19.53125
-43,83.085,83.08532,0.0003200000000020964,"[43, 18, 7]",43,18,7,171.875,74.21875,31.25
-42,83.48,83.48034,0.0003399999999942338,"[46, 14, 9]",46,14,9,183.59375,58.59375,39.0625
-41,83.875,83.875,0.0,"[103, 20, 3]",103,20,3,406.25,82.03125,15.625
-40,84.27,84.27001,1.0000000003174137e-05,"[233, 18, 3]",233,18,3,914.0625,74.21875,15.625
-39,84.665,84.66528,0.00027999999998939984,"[200, 16, 5]",200,16,5,785.15625,66.40625,23.4375
-38,85.06,85.06001,1.0000000003174137e-05,"[124, 12, 9]",124,12,9,488.28125,50.78125,39.0625
-37,85.455,85.45496,3.999999999848569e-05,"[150, 18, 4]",150,18,4,589.84375,74.21875,19.53125
-36,85.85,85.85021,0.00021000000000981345,"[176, 1, 19]",176,1,19,691.40625,7.8125,78.125
-35,86.245,86.24508,7.999999999697138e-05,"[101, 24, 1]",101,24,1,398.4375,97.65625,7.8125
-34,86.64,86.63975,0.0002499999999940883,"[159, 17, 5]",159,17,5,625.0,70.3125,23.4375
-33,87.035,87.03497,2.9999999995311555e-05,"[190, 18, 4]",190,18,4,746.09375,74.21875,19.53125
-32,87.43,87.42978,0.00022000000001298758,"[76, 11, 11]",76,11,11,300.78125,46.875,46.875
-31,87.825,87.82497,3.000000000952241e-05,"[218, 18, 4]",218,18,4,855.46875,74.21875,19.53125
-30,88.22,88.21998,1.9999999992137418e-05,"[235, 18, 4]",235,18,4,921.875,74.21875,19.53125
-29,88.615,88.61607,0.001069999999998572,"[121, 17, 6]",121,17,6,476.5625,70.3125,27.34375
-28,89.01,89.00983,0.00017000000001132776,"[248, 17, 5]",248,17,5,972.65625,70.3125,23.4375
-27,89.405,89.40485,0.00015000000000497948,"[58, 29, 2]",58,29,2,230.46875,117.1875,11.71875
-26,89.8,89.79986,0.00014000000000180535,"[87, 0, 21]",87,0,21,343.75,3.90625,85.9375
-25,90.195,90.19511,0.00011000000000649379,"[169, 18, 5]",169,18,5,664.0625,74.21875,23.4375
-24,90.59,90.58989,0.00011000000000649379,"[165, 11, 11]",165,11,11,648.4375,46.875,46.875
-23,90.98,90.97961,0.0003900000000101045,"[130, 9, 13]",130,9,13,511.71875,39.0625,54.6875
-22,91.37,91.36927,0.0007300000000043383,"[147, 20, 4]",147,20,4,578.125,82.03125,19.53125
-21,91.765,91.76587,0.0008700000000061436,"[117, 7, 15]",117,7,15,460.9375,31.25,62.5
-20,92.16,92.16002,2.0000000006348273e-05,"[189, 8, 14]",189,8,14,742.1875,35.15625,58.59375
-19,92.555,92.55515,0.00014999999999076863,"[70, 13, 11]",70,13,11,277.34375,54.6875,46.875
-18,92.95,92.94992,7.999999999697138e-05,"[72, 9, 14]",72,9,14,285.15625,39.0625,58.59375
-17,93.34,93.33968,0.0003200000000020964,"[232, 4, 18]",232,4,18,910.15625,19.53125,74.21875
-16,93.73,93.72997,3.000000000952241e-05,"[193, 0, 22]",193,0,22,757.8125,3.90625,89.84375
-15,94.125,94.126,0.0010000000000047748,"[173, 12, 11]",173,12,11,679.6875,50.78125,46.875
-14,94.52,94.52025,0.00025000000000829914,"[125, 15, 9]",125,15,9,492.1875,62.5,39.0625
-13,94.91,94.91027,0.00027000000000043656,"[76, 23, 5]",76,23,5,300.78125,93.75,23.4375
-12,95.3,95.29903,0.0009699999999952524,"[36, 20, 10]",36,20,10,144.53125,82.03125,42.96875
-11,95.695,95.69502,2.0000000006348273e-05,"[229, 10, 13]",229,10,13,898.4375,42.96875,54.6875
-10,96.09,96.08988,0.00012000000000966793,"[192, 8, 15]",192,8,15,753.90625,35.15625,62.5
-9,96.48,96.48017,0.0001699999999971169,"[81, 10, 14]",81,10,14,320.3125,42.96875,58.59375
-8,96.87,96.87024,0.00023999999999091415,"[144, 18, 7]",144,18,7,566.40625,74.21875,31.25
-7,97.26,97.26068,0.0006799999999884676,"[153, 3, 20]",153,3,20,601.5625,15.625,82.03125
-6,97.65,97.65625,0.006249999999994316,"[239, 15, 9]",239,15,9,937.5,62.5,39.0625
-5,98.045,98.04493,7.00000000080081e-05,"[172, 27, 0]",172,27,0,675.78125,109.375,3.90625
-4,98.44,98.4404,0.00039999999999906777,"[246, 21, 4]",246,21,4,964.84375,85.9375,19.53125
-3,98.83,98.83038,0.00038000000000693035,"[161, 10, 14]",161,10,14,632.8125,42.96875,58.59375
-2,99.22,99.21875,0.0012499999999988631,"[233, 25, 1]",233,25,1,914.0625,101.5625,7.8125
-1,99.61,99.60938,0.0006199999999978445,"[230, 10, 14]",230,10,14,902.34375,42.96875,58.59375
0,100.0,100.0,0.0,"[239, 9, 15]",239,9,15,937.5,39.0625,62.5
1,100.39,100.39062,0.0006199999999978445,"[206, 22, 4]",206,22,4,808.59375,89.84375,19.53125
2,100.78,100.78125,0.0012499999999988631,"[251, 17, 8]",251,17,8,984.375,70.3125,35.15625
3,101.17,101.17031,0.00030999999999892225,"[243, 4, 20]",243,4,20,953.125,19.53125,82.03125
4,101.56,101.5625,0.0024999999999977263,"[239, 15, 10]",239,15,10,937.5,62.5,42.96875
5,101.95,101.94976,0.000240000000005125,"[210, 20, 6]",210,20,6,824.21875,82.03125,27.34375
6,102.34,102.34005,5.000000000165983e-05,"[197, 12, 13]",197,12,13,773.4375,50.78125,54.6875
7,102.73,102.72951,0.0004899999999992133,"[227, 12, 13]",227,12,13,890.625,50.78125,54.6875
8,103.12,103.11838,0.0016200000000026193,"[80, 36, 0]",80,36,0,316.40625,144.53125,3.90625
9,103.51,103.50752,0.002480000000005589,"[229, 10, 15]",229,10,15,898.4375,42.96875,62.5
10,103.9,103.89997,3.000000000952241e-05,"[238, 9, 16]",238,9,16,933.59375,39.0625,66.40625
11,104.29,104.28984,0.00016000000000815362,"[204, 16, 10]",204,16,10,800.78125,66.40625,42.96875
12,104.68,104.68016,0.00015999999999394277,"[196, 15, 11]",196,15,11,769.53125,62.5,46.875
13,105.07,105.07015,0.00015000000000497948,"[239, 4, 21]",239,4,21,937.5,19.53125,85.9375
14,105.46,105.4548,0.005199999999987881,"[250, 28, 0]",250,28,0,980.46875,113.28125,3.90625
15,105.85,105.84985,0.00014999999999076863,"[59, 21, 10]",59,21,10,234.375,85.9375,42.96875
16,106.24,106.23972,0.00027999999998939984,"[58, 16, 13]",58,16,13,230.46875,66.40625,54.6875
17,106.63,106.63007,7.00000000080081e-05,"[237, 20, 7]",237,20,7,929.6875,82.03125,31.25
18,107.02,107.02144,0.0014400000000023283,"[226, 11, 15]",226,11,15,886.71875,46.875,62.5
19,107.405,107.40489,0.00011000000000649379,"[205, 23, 5]",205,23,5,804.6875,93.75,23.4375
20,107.79,107.79026,0.0002599999999972624,"[254, 25, 3]",254,25,3,996.09375,101.5625,15.625
21,108.18,108.18015,0.00014999999999076863,"[70, 13, 15]",70,13,15,277.34375,54.6875,62.5
22,108.57,108.57008,8.000000001118224e-05,"[141, 22, 7]",141,22,7,554.6875,89.84375,31.25
23,108.96,108.95944,0.0005599999999930105,"[229, 4, 22]",229,4,22,898.4375,19.53125,89.84375
24,109.35,109.34996,3.999999999848569e-05,"[154, 0, 26]",154,0,26,605.46875,3.90625,105.46875
25,109.735,109.73627,0.0012700000000052114,"[146, 25, 5]",146,25,5,574.21875,101.5625,23.4375
26,110.12,110.12074,0.0007399999999933016,"[86, 22, 9]",86,22,9,339.84375,89.84375,39.0625
27,110.51,110.51015,0.00014999999999076863,"[213, 19, 9]",213,19,9,835.9375,78.125,39.0625
28,110.9,110.9003,0.0002999999999957481,"[96, 7, 20]",96,7,20,378.90625,31.25,82.03125
29,111.285,111.2851,0.00010000000000331966,"[194, 31, 0]",194,31,0,761.71875,125.0,3.90625
