,T,R,calc,error,code,R1_code,R2_code,R3_code,R1,R2,R3
0,-50,803.15,803.15005,4.999999998744897e-05,"[220, 121, 126]",220,121,126,863.28125,476.5625,496.09375
1,-49,807.11,807.10998,2.0000000063191692e-05,"[121, 6, 199]",121,6,199,476.5625,27.34375,781.25
2,-48,811.07,811.07044,0.00043999999991228833,"[247, 180, 102]",247,180,102,968.75,707.03125,402.34375
3,-47,815.03,815.02985,0.00014999999996234692,"[254, 147, 114]",254,147,114,996.09375,578.125,449.21875
4,-46,818.99,818.98975,0.0002500000000509317,"[180, 7, 201]",180,7,201,707.03125,31.25,789.0625
5,-45,822.95,822.94997,3.000000003794412e-05,"[215, 174, 113]",215,174,113,843.75,683.59375,445.3125
6,-44,826.91,826.91006,6.000000007588824e-05,"[224, 28, 185]",224,28,185,878.90625,113.28125,726.5625
7,-43,830.87,830.86993,7.000000005064066e-05,"[245, 197, 102]",245,197,102,960.9375,773.4375,402.34375
8,-42,834.83,834.83022,0.00022000000001298758,"[157, 95, 153]",157,95,153,617.1875,375.0,601.5625
9,-41,838.79,838.78968,0.00031999999998788553,"[159, 154, 135]",159,154,135,625.0,605.46875,531.25
10,-40,842.75,842.75,0.0,"[241, 7, 207]",241,7,207,945.3125,31.25,812.5
11,-39,846.699,846.69909,9.000000000014552e-05,"[165, 135, 141]",165,135,141,648.4375,531.25,554.6875
12,-38,850.648,850.64827,0.00027000000000043656,"[154, 79, 164]",154,79,164,605.46875,312.5,644.53125
13,-37,854.597,854.59702,2.0000000063191692e-05,"[192, 160, 130]",192,160,130,753.90625,628.90625,511.71875
14,-36,858.546,858.54574,0.00026000000002568413,"[253, 103, 145]",253,103,145,992.1875,406.25,570.3125
15,-35,862.495,862.49493,7.000000005064066e-05,"[248, 212, 105]",248,212,105,972.65625,832.03125,414.0625
16,-34,866.444,866.44405,4.999999998744897e-05,"[236, 72, 165]",236,72,165,925.78125,285.15625,648.4375
17,-33,870.393,870.39263,0.0003699999999753345,"[174, 97, 159]",174,97,159,683.59375,382.8125,625.0
18,-32,874.342,874.34211,0.00011000000006333721,"[197, 181, 128]",197,181,128,773.4375,710.9375,503.90625
19,-31,878.291,878.29098,2.0000000063191692e-05,"[231, 40, 189]",231,40,189,906.25,160.15625,742.1875
20,-30,882.24,882.23978,0.00022000000001298758,"[228, 36, 193]",228,36,193,894.53125,144.53125,757.8125
21,-29,886.177,886.17701,9.999999974752427e-06,"[213, 59, 179]",213,59,179,835.9375,234.375,703.125
22,-28,890.114,890.11406,5.99999999622014e-05,"[187, 48, 188]",187,48,188,734.375,191.40625,738.28125
23,-27,894.051,894.05097,3.000000003794412e-05,"[96, 24, 208]",96,24,208,378.90625,97.65625,816.40625
24,-26,897.988,897.98811,0.00010999999994965037,"[191, 33, 200]",191,33,200,750.0,132.8125,785.15625
25,-25,901.925,901.92485,0.00014999999996234692,"[208, 163, 138]",208,163,138,816.40625,640.625,542.96875
26,-24,905.862,905.86215,0.00015000000007603376,"[247, 33, 201]",247,33,201,968.75,132.8125,789.0625
27,-23,909.799,909.79904,4.0000000012696546e-05,"[237, 100, 161]",237,100,161,929.6875,394.53125,632.8125
28,-22,913.736,913.73593,6.999999993695383e-05,"[254, 55, 187]",254,55,187,996.09375,218.75,734.375
29,-21,917.673,917.67301,9.999999974752427e-06,"[178, 137, 156]",178,137,156,699.21875,539.0625,613.28125
30,-20,921.61,921.61017,0.0001700000000255386,"[231, 3, 231]",231,3,231,906.25,15.625,906.25
31,-19,925.535,925.53506,6.000000007588824e-05,"[210, 26, 212]",210,26,212,824.21875,105.46875,832.03125
32,-18,929.46,929.45995,4.999999998744897e-05,"[194, 113, 165]",194,113,165,761.71875,445.3125,648.4375
33,-17,933.385,933.38502,2.0000000063191692e-05,"[110, 19, 221]",110,19,221,433.59375,78.125,867.1875
34,-16,937.31,937.30997,2.999999992425728e-05,"[181, 2, 236]",181,2,236,710.9375,11.71875,925.78125
35,-15,941.235,941.23476,0.00023999999996249244,"[201, 2, 237]",201,2,237,789.0625,11.71875,929.6875
36,-14,945.16,945.15974,0.0002599999999119973,"[245, 111, 164]",245,111,164,960.9375,437.5,644.53125
