T,R,calc,error,code,R1,R2,R3,R1_code,R2_code,R3_code
-50,40.16,40.15976,0.00023999999999801958,"[80, 7, 2]",316.40625,31.25,11.71875,80,7,2
-49,40.358,40.35382,0.004179999999998074,"[111, 8, 1]",437.5,35.15625,7.8125,111,8,1
-48,40.556,40.55607,7.000000000090267e-05,"[18, 14, 1]",74.21875,58.59375,7.8125,18,14,1
-47,40.754,40.75612,0.0021200000000050068,"[133, 8, 1]",523.4375,35.15625,7.8125,133,8,1
-46,40.952,40.95262,0.0006200000000049499,"[115, 7, 2]",453.125,31.25,11.71875,115,7,2
-45,41.15,41.15032,0.0003200000000020964,"[164, 8, 1]",644.53125,35.15625,7.8125,164,8,1
-44,41.348,41.3479,9.999999999621423e-05,"[230, 9, 0]",902.34375,39.0625,3.90625,230,9,0
-43,41.546,41.5483,0.0022999999999981924,"[167, 7, 2]",656.25,31.25,11.71875,167,7,2
-42,41.744,41.74326,0.000740000000000407,"[195, 7, 2]",765.625,31.25,11.71875,195,7,2
-41,41.942,41.94229,0.0002899999999996794,"[130, 5, 4]",511.71875,23.4375,19.53125,130,5,4
-40,42.14,42.14015,0.00014999999999787406,"[223, 6, 3]",875.0,27.34375,15.625,223,6,3
-39,42.337,42.33744,0.00043999999999755346,"[94, 3, 6]",371.09375,15.625,27.34375,94,3,6
-38,42.534,42.53472,0.0007200000000011642,"[219, 4, 5]",859.375,19.53125,23.4375,219,4,5
-37,42.731,42.73121,0.0002099999999956026,"[144, 2, 7]",566.40625,11.71875,31.25,144,2,7
-36,42.928,42.92806,6.0000000004833964e-05,"[94, 0, 9]",371.09375,3.90625,39.0625,94,0,9
-35,43.125,43.125,0.0,"[17, 6, 5]",70.3125,27.34375,23.4375,17,6,5
-34,43.322,43.32119,0.0008100000000013097,"[121, 10, 0]",476.5625,42.96875,3.90625,121,10,0
-33,43.519,43.517,0.001999999999995339,"[49, 6, 4]",195.3125,27.34375,19.53125,49,6,4
-32,43.716,43.71094,0.0050600000000002865,"[90, 8, 2]",355.46875,35.15625,11.71875,90,8,2
-31,43.913,43.91164,0.0013599999999982515,"[14, 13, 3]",58.59375,54.6875,15.625,14,13,3
-30,44.11,44.11093,0.0009300000000038722,"[159, 10, 0]",625.0,42.96875,3.90625,159,10,0
-29,44.307,44.30651,0.0004899999999992133,"[61, 10, 1]",242.1875,42.96875,7.8125,61,10,1
-28,44.504,44.50758,0.0035799999999994725,"[154, 9, 1]",605.46875,39.0625,7.8125,154,9,1
-27,44.701,44.70109,9.000000000014552e-05,"[106, 7, 3]",417.96875,31.25,15.625,106,7,3
-26,44.898,44.89746,0.0005400000000008731,"[150, 8, 2]",589.84375,35.15625,11.71875,150,8,2
-25,45.095,45.09494,5.999999999772854e-05,"[72, 5, 5]",285.15625,23.4375,23.4375,72,5,5
-24,45.292,45.29272,0.0007200000000011642,"[149, 7, 3]",585.9375,31.25,15.625,149,7,3
-23,45.489,45.488,0.0009999999999976694,"[130, 6, 4]",511.71875,27.34375,19.53125,130,6,4
-22,45.686,45.68614,0.00014000000000180535,"[153, 6, 4]",601.5625,27.34375,19.53125,153,6,4
-21,45.883,45.88294,6.0000000004833964e-05,"[243, 7, 3]",953.125,31.25,15.625,243,7,3
-20,46.08,46.08051,0.0005099999999984561,"[170, 5, 5]",667.96875,23.4375,23.4375,170,5,5
-19,46.276,46.27588,0.0001200000000025625,"[157, 4, 6]",617.1875,19.53125,27.34375,157,4,6
-18,46.472,46.47177,0.00023000000000195087,"[150, 3, 7]",589.84375,15.625,31.25,150,3,7
-17,46.668,46.6682,0.00019999999999953388,"[166, 2, 8]",652.34375,11.71875,35.15625,166,2,8
-16,46.864,46.8598,0.004199999999997317,"[255, 0, 10]",1000.0,3.90625,42.96875,255,0,10
-15,47.06,47.05955,0.0004500000000007276,"[115, 10, 1]",453.125,42.96875,7.8125,115,10,1
-14,47.256,47.2561,0.00010000000000331966,"[22, 17, 1]",89.84375,70.3125,7.8125,22,17,1
-13,47.452,47.45268,0.0006800000000026785,"[130, 10, 1]",511.71875,42.96875,7.8125,130,10,1
-12,47.648,47.64851,0.0005099999999984561,"[91, 8, 3]",359.375,35.15625,15.625,91,8,3
-11,47.844,47.84422,0.00021999999999877673,"[122, 9, 2]",480.46875,39.0625,11.71875,122,9,2
-10,48.04,48.03735,0.0026499999999956003,"[192, 11, 0]",753.90625,46.875,3.90625,192,11,0
-9,48.236,48.236,0.0,"[208, 11, 0]",816.40625,46.875,3.90625,208,11,0
-8,48.432,48.42973,0.002270000000002881,"[189, 10, 1]",742.1875,42.96875,7.8125,189,10,1
-7,48.628,48.6278,0.00019999999999953388,"[66, 10, 2]",261.71875,42.96875,11.71875,66,10,2
-6,48.824,48.82002,0.00397999999999854,"[229, 10, 1]",898.4375,42.96875,7.8125,229,10,1
-5,49.02,49.02069,0.0006899999999987472,"[133, 7, 4]",523.4375,31.25,19.53125,133,7,4
-4,49.216,49.21488,0.001120000000000232,"[192, 8, 3]",753.90625,35.15625,15.625,192,8,3
-3,49.412,49.41153,0.00046999999999997044,"[221, 8, 3]",867.1875,35.15625,15.625,221,8,3
-2,49.608,49.60754,0.0004599999999967963,"[204, 7, 4]",800.78125,31.25,19.53125,204,7,4
-1,49.804,49.80469,0.0006899999999987472,"[247, 7, 4]",968.75,31.25,19.53125,247,7,4
0,50.0,50.0,0.0,"[237, 6, 5]",929.6875,27.34375,23.4375,237,6,5
1,50.195,50.19531,0.00030999999999892225,"[233, 5, 6]",914.0625,23.4375,27.34375,233,5,6
2,50.39,50.39062,0.0006199999999978445,"[244, 4, 7]",957.03125,19.53125,31.25,244,4,7
3,50.585,50.58485,0.00014999999999787406,"[175, 2, 9]",687.5,11.71875,39.0625,175,2,9
4,50.78,50.78125,0.0012499999999988631,"[155, 12, 0]",609.375,50.78125,3.90625,155,12,0
