temp,value
-50,41.71
-49,41.94
-48,42.16
-47,42.39
-46,42.61
-45,42.84
-44,43.07
-43,43.29
-42,43.52
-41,43.74
-40,43.97
-39,44.2
-38,44.42
-37,44.65
-36,44.87
-35,45.1
-34,45.33
-33,45.55
-32,45.78
-31,46.0
-30,46.23
-29,46.46
-28,46.68
-27,46.91
-26,47.13
-25,47.36
-24,47.58
-23,47.81
-22,48.03
-21,48.26
-20,48.48
-19,48.71
-18,48.93
-17,49.16
-16,49.38
-15,49.61
-14,49.84
-13,50.06
-12,50.29
-11,50.51
-10,50.74
-9,50.97
-8,51.19
-7,51.42
-6,51.64
-5,51.87
-4,52.1
-3,52.32
-2,52.55
-1,52.77
0,53.0
1,53.23
2,53.45
3,53.68
4,53.9
5,54.13
6,54.36
7,54.58
8,54.81
9,55.03
10,55.26
11,55.49
12,55.71
13,55.94
14,56.16
15,56.39
16,56.62
17,56.84
18,57.07
19,57.29
20,57.52
21,57.75
22,57.97
23,58.2
24,58.42
25,58.65
26,58.87
27,59.1
28,59.32
29,59.55
30,59.77
31,60.0
32,60.22
33,60.45
34,60.67
35,60.9
36,61.13
37,61.35
38,61.58
39,61.8
40,62.03
41,62.26
42,62.48
43,62.71
44,62.93
45,63.16
46,63.39
47,63.61
48,63.84
49,64.06
50,64.29
51,64.52
52,64.74
53,64.97
54,65.19
55,65.42
56,65.65
57,65.87
58,66.1
59,66.32
60,66.55
61,66.78
62,67.0
63,67.23
64,67.45
65,67.68
66,67.91
67,68.13
68,68.36
69,68.58
70,68.81
71,69.03
72,69.26
73,69.48
74,69.71
75,69.93
76,70.16
77,70.38
78,70.61
79,70.83
80,71.06
81,71.29
82,71.51
83,71.74
84,71.96
85,72.19
86,72.42
87,72.64
88,72.87
89,73.09
90,73.32
91,73.55
92,73.77
93,74.0
94,74.22
95,74.45
96,74.68
97,74.9
98,75.13
99,75.35
100,75.58
101,75.81
102,76.03
103,76.26
104,76.48
105,76.71
106,76.94
107,77.16
108,77.39
109,77.61
110,77.84
111,78.07
112,78.29
113,78.52
114,78.74
115,78.97
116,79.19
117,79.42
118,79.64
119,79.87
120,80.09
121,80.32
122,80.54
123,80.77
124,80.99
125,81.22
126,81.45
127,81.67
128,81.9
129,82.12
130,82.35
131,82.58
132,82.8
133,83.03
134,83.25
135,83.48
136,83.71
137,83.93
138,84.16
139,84.38
140,84.61
141,84.84
142,85.06
143,85.29
144,85.51
145,85.74
146,85.97
147,86.19
148,86.42
149,86.64
150,86.87
151,87.1
152,87.32
153,87.55
154,87.77
155,88.0
156,88.23
157,88.45
158,88.68
159,88.9
160,89.13
161,89.35
162,89.58
163,89.8
164,90.03
165,90.25
166,90.48
167,90.7
168,90.93
169,91.15
170,91.38
171,91.61
172,91.83
173,92.06
174,92.28
175,92.51
176,92.74
177,92.96
178,93.19
179,93.41
180,93.64
