T,R
-50,80.31
-49,80.70
-48,81.10
-47,81.50
-46,81.89
-45,82.29
-44,82.69
-43,83.08
-42,83.48
-41,83.88
-40,84.27
-39,84.67
-38,85.06
-37,85.45
-36,85.85
-35,86.25
-34,86.64
-33,87.03
-32,87.43
-31,87.83
-30,88.22
-29,88.61
-28,89.01
-27,89.41
-26,89.80
-25,90.19
-24,90.59
-23,90.98
-22,91.37
-21,91.77
-20,92.16
-19,92.56
-18,92.95
-17,93.34
-16,93.73
-15,94.12
-14,94.52
-13,94.91
-12,95.30
-11,95.69
-10,96.09
-9,96.48
-8,96.87
-7,97.26
-6,97.65
-5,98.05
-4,98.44
-3,98.83
-2,99.22
-1,99.61
0,100.00
1,100.39
2,100.78
3,101.17
4,101.56
5,101.95
6,102.34
7,102.73
8,103.12
9,103.51
10,103.90
11,104.29
12,104.68
13,105.07
14,105.46
15,105.85
16,106.24
17,106.63
18,107.02
19,107.41
20,107.79
21,108.18
22,108.57
23,108.96
24,109.35
25,109.73
26,110.12
27,110.51
28,110.90
29,111.28
30,111.67
31,112.06
32,112.45
33,112.83
34,113.22
35,113.61
36,114.00
37,114.39
38,114.77
39,115.16
40,115.54
41,115.92
42,116.31
43,116.69
44,117.08
45,117.47
46,117.86
47,118.25
48,118.63
49,119.02
50,119.40
51,119.78
52,120.17
53,120.56
54,120.94
55,121.34
56,121.74
57,122.11
58,122.47
59,122.86
60,123.24
61,123.62
62,124.01
63,124.39
64,124.78
65,125.16
66,125.54
67,125.92
68,126.31
69,126.69
70,127.08
71,127.46
72,127.84
73,128.22
74,128.61
75,128.99
76,129.37
77,129.75
78,130.13
79,130.51
80,130.90
81,131.28
82,131.66
83,132.04
84,132.42
85,132.80
86,133.18
87,133.56
88,133.95
89,134.33
90,134.71
91,135.09
92,135.47
93,135.85
94,136.23
95,136.61
96,136.99
97,137.37
98,137.75
99,138.13
100,138.51
