temp,value
-50,803.15
-49,807.11
-48,811.07
-47,815.03
-46,818.99
-45,822.95
-44,826.91
-43,830.87
-42,834.83
-41,838.79
-40,842.75
-39,846.70
-38,850.65
-37,854.60
-36,858.55
-35,862.50
-34,866.44
-33,870.39
-32,874.34
-31,878.29
-30,882.24
-29,886.18
-28,890.11
-27,894.05
-26,897.99
-25,901.92
-24,905.86
-23,909.80
-22,913.74
-21,917.67
-20,921.61
-19,925.53
-18,929.46
-17,933.38
-16,937.31
-15,941.24
-14,945.16
-13,949.09
-12,953.01
-11,956.93
-10,960.86
-9,964.77
-8,968.69
-7,972.60
-6,976.52
-5,980.43
-4,984.34
-3,988.26
-2,992.17
-1,996.09
0,1000.00
1,1003.90
2,1007.80
3,1011.71
4,1015.61
5,1019.51
6,1023.41
7,1027.31
8,1031.22
9,1035.12
10,1039.02
11,1042.91
12,1046.80
13,1050.69
14,1054.58
15,1058.47
16,1062.37
17,1066.26
18,1070.15
19,1074.04
20,1077.93
21,1081.81
22,1085.69
23,1089.57
24,1093.45
25,1097.33
26,1101.20
27,1105.08
28,1108.96
29,1112.84
30,1116.72
31,1120.59
32,1124.45
33,1128.32
34,1132.19
35,1136.06
36,1139.92
37,1143.79
38,1147.66
39,1151.52
40,1155.39
41,1159.25
42,1163.10
43,1166.96
44,1170.81
45,1174.67
46,1178.53
47,1182.38
48,1186.24
49,1190.09
50,1193.95
51,1197.79
52,1201.64
53,1205.48
54,1209.33
55,1213.17
56,1217.01
57,1220.86
58,1224.70
59,1228.55
60,1232.39
61,1236.22
62,1240.06
63,1243.89
64,1247.72
65,1251.56
66,1255.39
67,1259.22
68,1263.05
69,1266.89
70,1270.72
71,1274.54
72,1278.36
73,1282.18
74,1286.00
75,1289.83
76,1293.65
77,1297.47
78,1301.29
79,1305.11
80,1308.93
81,1312.74
82,1316.55
83,1320.36
84,1324.17
85,1327.97
86,1331.78
87,1335.59
88,1339.40
89,1343.21
90,1347.02
91,1350.82
92,1354.62
93,1358.41
94,1362.21
95,1366.01
96,1369.81
97,1373.61
98,1377.40
99,1381.20
100,1385.00
