temp,value
0,0.0
1,0.012
2,0.023
3,0.035
4,0.047
5,0.059
6,0.071
7,0.083
8,0.095
9,0.107
10,0.119
11,0.131
12,0.143
13,0.155
14,0.167
15,0.179
16,0.191
17,0.204
18,0.216
19,0.228
20,0.241
21,0.253
22,0.265
23,0.278
24,0.29
25,0.303
26,0.315
27,0.328
28,0.341
29,0.353
30,0.366
31,0.379
32,0.391
33,0.404
34,0.417
35,0.43
36,0.442
37,0.455
38,0.468
39,0.481
40,0.494
41,0.507
42,0.52
43,0.533
44,0.546
45,0.559
46,0.573
47,0.586
48,0.599
49,0.612
50,0.625
51,0.639
52,0.652
53,0.665
54,0.679
55,0.692
56,0.705
57,0.719
58,0.732
59,0.746
60,0.759
61,0.773
62,0.786
63,0.8
64,0.813
65,0.827
66,0.841
67,0.854
68,0.868
69,0.882
70,0.896
71,0.909
72,0.923
73,0.937
74,0.951
75,0.965
76,0.979
77,0.993
78,1.007
79,1.02
80,1.034
81,1.048
82,1.063
83,1.077
84,1.091
85,1.105
86,1.119
87,1.133
88,1.147
89,1.161
90,1.176
91,1.19
92,1.204
93,1.218
94,1.233
95,1.247
96,1.261
97,1.276
98,1.29
99,1.304
100,1.319
101,1.333
102,1.348
103,1.362
104,1.377
105,1.391
106,1.406
107,1.42
108,1.435
109,1.449
110,1.464
111,1.479
112,1.493
113,1.508
114,1.523
115,1.537
116,1.552
117,1.567
118,1.582
119,1.596
120,1.611
121,1.626
122,1.641
123,1.656
124,1.67
125,1.685
126,1.7
127,1.715
128,1.73
129,1.745
130,1.76
131,1.775
132,1.79
133,1.805
134,1.82
135,1.835
136,1.85
137,1.865
138,1.88
139,1.895
140,1.91
141,1.926
142,1.941
143,1.956
144,1.971
145,1.986
146,2.001
147,2.017
148,2.032
149,2.047
150,2.062
151,2.078
152,2.093
153,2.108
154,2.124
155,2.139
156,2.154
157,2.17
158,2.185
159,2.2
160,2.216
161,2.231
162,2.247
163,2.262
164,2.278
165,2.293
166,2.309
167,2.324
168,2.34
169,2.355
170,2.371
171,2.386
172,2.402
173,2.417
174,2.433
175,2.449
176,2.464
177,2.48
178,2.495
179,2.511
180,2.527
181,2.542
182,2.558
183,2.574
184,2.59
185,2.605
186,2.621
187,2.637
188,2.652
189,2.668
190,2.684
191,2.7
192,2.716
193,2.731
194,2.747
195,2.763
196,2.779
197,2.795
198,2.811
199,2.826
200,2.842
201,2.858
202,2.874
203,2.89
204,2.906
205,2.922
206,2.938
207,2.954
208,2.97
209,2.986
210,3.002
211,3.018
212,3.034
213,3.05
214,3.066
215,3.082
216,3.098
217,3.114
218,3.13
219,3.146
220,3.162
221,3.178
222,3.194
223,3.21
224,3.226
