temp,value
-50,-0.226
-49,-0.223
-48,-0.219
-47,-0.215
-46,-0.211
-45,-0.208
-44,-0.204
-43,-0.2
-42,-0.196
-41,-0.192
-40,-0.188
-39,-0.184
-38,-0.18
-37,-0.175
-36,-0.171
-35,-0.167
-34,-0.163
-33,-0.158
-32,-0.154
-31,-0.15
-30,-0.145
-29,-0.141
-28,-0.137
-27,-0.132
-26,-0.128
-25,-0.123
-24,-0.119
-23,-0.114
-22,-0.109
-21,-0.105
-20,-0.1
-19,-0.095
-18,-0.091
-17,-0.086
-16,-0.081
-15,-0.076
-14,-0.071
-13,-0.066
-12,-0.061
-11,-0.056
-10,-0.051
-9,-0.046
-8,-0.041
-7,-0.036
-6,-0.031
-5,-0.026
-4,-0.021
-3,-0.016
-2,-0.011
-1,-0.005
0,0.0
1,0.005
2,0.006
3,0.011
4,0.016
5,0.019
6,0.021
7,0.027
8,0.032
9,0.038
10,0.043
11,0.045
12,0.046
13,0.049
14,0.054
15,0.059
16,0.06
17,0.065
18,0.071
19,0.072
20,0.073
21,0.077
22,0.082
23,0.085
24,0.087
25,0.088
26,0.094
27,0.098
28,0.1
29,0.105
30,0.111
31,0.114
32,0.117
33,0.123
34,0.124
35,0.127
36,0.129
37,0.135
38,0.137
39,0.141
40,0.147
41,0.15
42,0.153
43,0.154
44,0.159
45,0.163
46,0.165
47,0.168
48,0.171
49,0.176
50,0.177
51,0.181
52,0.183
53,0.189
54,0.19
55,0.195
56,0.201
57,0.203
58,0.207
59,0.208
60,0.214
61,0.216
62,0.22
63,0.222
64,0.226
65,0.229
66,0.232
67,0.235
68,0.239
69,0.242
70,0.245
71,0.249
72,0.251
73,0.255
74,0.258
75,0.262
76,0.264
77,0.268
78,0.271
79,0.275
80,0.277
81,0.282
82,0.284
83,0.289
84,0.29
85,0.295
86,0.296
87,0.302
88,0.303
89,0.308
90,0.31
91,0.316
92,0.321
93,0.323
94,0.329
95,0.334
96,0.336
97,0.342
98,0.343
99,0.347
100,0.349
101,0.356
102,0.361
103,0.363
104,0.369
105,0.374
106,0.376
107,0.382
108,0.383
109,0.387
110,0.39
111,0.396
112,0.397
113,0.4
114,0.403
115,0.409
116,0.41
117,0.413
118,0.417
119,0.422
120,0.424
121,0.427
122,0.431
123,0.436
124,0.438
125,0.44
126,0.445
127,0.449
128,0.452
129,0.453
130,0.459
131,0.462
132,0.466
133,0.473
134,0.475
135,0.479
136,0.48
137,0.487
138,0.488
139,0.493
140,0.494
141,0.501
142,0.502
143,0.506
144,0.508
145,0.515
146,0.516
147,0.519
148,0.523
149,0.528
150,0.53
151,0.532
152,0.537
153,0.541
154,0.544
155,0.546
156,0.552
157,0.554
158,0.559
159,0.566
160,0.567
161,0.572
162,0.573
163,0.581
164,0.585
165,0.588
166,0.594
167,0.595
168,0.599
169,0.603
170,0.607
171,0.61
172,0.612
173,0.618
174,0.62
175,0.625
176,0.632
177,0.633
178,0.638
179,0.64
180,0.646
181,0.647
182,0.652
183,0.655
184,0.659
185,0.662
186,0.665
187,0.67
188,0.672
189,0.677
190,0.678
191,0.685
192,0.692
193,0.693
194,0.698
195,0.7
196,0.705
197,0.708
198,0.711
199,0.715
200,0.718
201,0.723
202,0.724
203,0.731
204,0.736
205,0.738
206,0.745
207,0.746
208,0.749
209,0.754
210,0.758
211,0.761
212,0.762
213,0.769
214,0.771
215,0.775
216,0.777
217,0.785
218,0.788
219,0.792
220,0.798
221,0.8
222,0.801
223,0.808
224,0.811
225,0.813
226,0.816
227,0.824
228,0.825
229,0.826
230,0.832
231,0.838
232,0.839
233,0.847
234,0.851
235,0.852
236,0.855
237,0.863
238,0.864
239,0.865
240,0.871
241,0.877
242,0.878
243,0.879
244,0.887
245,0.89
246,0.891
247,0.895
248,0.902
249,0.903
250,0.905
251,0.911
252,0.915
253,0.918
254,0.919
255,0.927
256,0.928
257,0.931
258,0.935
259,0.94
260,0.943
