temp,value
-50,-0.236
-49,-0.232
-48,-0.228
-47,-0.224
-46,-0.219
-45,-0.215
-44,-0.211
-43,-0.207
-42,-0.203
-41,-0.199
-40,-0.194
-39,-0.19
-38,-0.186
-37,-0.181
-36,-0.177
-35,-0.173
-34,-0.168
-33,-0.164
-32,-0.159
-31,-0.155
-30,-0.15
-29,-0.146
-28,-0.141
-27,-0.136
-26,-0.132
-25,-0.127
-24,-0.122
-23,-0.117
-22,-0.113
-21,-0.108
-20,-0.103
-19,-0.098
-18,-0.093
-17,-0.088
-16,-0.083
-15,-0.078
-14,-0.073
-13,-0.068
-12,-0.063
-11,-0.058
-10,-0.053
-9,-0.048
-8,-0.042
-7,-0.037
-6,-0.032
-5,-0.027
-4,-0.021
-3,-0.016
-2,-0.011
-1,-0.005
0,0.0
1,0.005
2,0.011
3,0.016
4,0.022
5,0.027
6,0.028
7,0.033
8,0.038
9,0.04
10,0.044
11,0.05
12,0.051
13,0.055
14,0.061
15,0.063
16,0.067
17,0.072
18,0.075
19,0.078
20,0.084
21,0.086
22,0.09
23,0.095
24,0.098
25,0.101
26,0.107
27,0.11
28,0.113
29,0.119
30,0.121
31,0.125
32,0.131
33,0.133
34,0.137
35,0.143
36,0.145
37,0.149
38,0.155
39,0.156
40,0.161
41,0.167
42,0.168
43,0.173
44,0.179
45,0.18
46,0.185
47,0.191
48,0.197
49,0.203
50,0.204
51,0.21
52,0.215
53,0.216
54,0.222
55,0.227
56,0.229
57,0.235
58,0.238
59,0.241
60,0.248
61,0.25
62,0.254
63,0.26
64,0.262
65,0.267
66,0.273
67,0.28
68,0.285
69,0.286
70,0.292
71,0.297
72,0.299
73,0.305
74,0.309
75,0.312
76,0.319
77,0.32
78,0.325
79,0.332
80,0.338
81,0.344
82,0.345
83,0.352
84,0.356
85,0.358
86,0.365
87,0.367
88,0.372
89,0.378
90,0.379
91,0.385
92,0.391
93,0.392
94,0.399
95,0.403
96,0.405
97,0.412
98,0.414
99,0.419
100,0.426
101,0.433
102,0.438
103,0.44
104,0.446
105,0.45
106,0.453
107,0.46
108,0.461
109,0.467
110,0.473
111,0.474
112,0.481
113,0.485
114,0.488
115,0.495
116,0.497
117,0.502
118,0.509
119,0.516
120,0.52
121,0.523
122,0.53
123,0.532
124,0.538
125,0.544
126,0.545
127,0.552
128,0.556
129,0.559
130,0.566
131,0.567
132,0.573
133,0.579
134,0.58
135,0.588
136,0.591
137,0.595
138,0.602
139,0.603
140,0.609
141,0.615
142,0.617
143,0.624
144,0.626
145,0.631
146,0.638
147,0.639
148,0.646
149,0.65
150,0.653
151,0.661
152,0.662
153,0.668
154,0.674
155,0.675
156,0.683
157,0.686
158,0.69
159,0.697
160,0.698
161,0.705
162,0.709
163,0.713
164,0.72
165,0.721
166,0.727
167,0.733
168,0.735
169,0.743
170,0.745
171,0.75
172,0.757
173,0.758
174,0.765
175,0.768
176,0.773
177,0.78
178,0.788
179,0.792
180,0.795
181,0.803
182,0.804
183,0.811
184,0.816
185,0.818
186,0.826
187,0.828
188,0.834
189,0.839
190,0.841
191,0.849
192,0.851
193,0.857
194,0.863
195,0.865
196,0.872
197,0.875
198,0.88
199,0.887
200,0.888
201,0.896
202,0.899
