temp,value
0,-0.003
1,-0.002
2,-0.001
3,0.0
4,0.001
5,0.002
6,0.003
7,0.004
8,0.005
9,0.006
10,0.007
11,0.008
12,0.009
13,0.01
14,0.011
15,0.012
16,0.013
17,0.014
18,0.015
19,0.016
20,0.017
21,0.018
22,0.019
23,0.02
24,0.021
25,0.022
26,0.023
27,0.024
28,0.025
29,0.026
30,0.027
31,0.028
32,0.029
33,0.03
34,0.031
35,0.032
36,0.033
37,0.034
38,0.035
39,0.036
40,0.037
41,0.038
42,0.039
43,0.04
44,0.041
45,0.042
46,0.043
47,0.044
48,0.045
49,0.046
50,0.047
51,0.048
52,0.049
53,0.05
54,0.051
55,0.052
56,0.053
57,0.055
58,0.056
59,0.057
60,0.058
61,0.059
62,0.06
63,0.062
64,0.063
65,0.064
66,0.065
67,0.066
68,0.068
69,0.069
70,0.07
71,0.072
72,0.073
73,0.074
74,0.075
75,0.076
76,0.077
77,0.078
78,0.079
79,0.081
80,0.082
81,0.084
82,0.085
83,0.086
84,0.088
85,0.089
86,0.091
87,0.092
88,0.094
89,0.095
90,0.096
91,0.098
92,0.099
93,0.101
94,0.102
95,0.104
96,0.106
97,0.107
98,0.109
99,0.11
100,0.111
101,0.112
102,0.113
103,0.115
104,0.117
105,0.118
106,0.12
107,0.122
108,0.123
109,0.125
110,0.127
111,0.128
112,0.13
113,0.132
114,0.134
115,0.135
116,0.137
117,0.139
118,0.141
119,0.142
120,0.144
121,0.145
122,0.146
123,0.148
124,0.15
125,0.151
126,0.153
127,0.155
128,0.157
129,0.159
130,0.161
131,0.163
132,0.165
133,0.166
134,0.168
135,0.17
136,0.172
137,0.174
138,0.176
139,0.178
140,0.18
141,0.182
142,0.184
143,0.186
144,0.188
145,0.19
146,0.192
147,0.195
148,0.197
149,0.199
150,0.201
151,0.203
152,0.205
153,0.207
154,0.209
155,0.212
156,0.214
157,0.215
158,0.216
159,0.218
160,0.22
161,0.222
162,0.225
163,0.226
164,0.227
165,0.229
166,0.231
167,0.234
168,0.236
169,0.238
170,0.241
171,0.243
172,0.245
173,0.248
174,0.249
175,0.25
176,0.252
177,0.255
178,0.257
179,0.259
180,0.261
181,0.262
182,0.264
183,0.267
184,0.269
185,0.271
186,0.273
187,0.274
188,0.276
189,0.279
190,0.281
191,0.284
192,0.286
193,0.289
194,0.291
195,0.294
196,0.296
197,0.299
198,0.301
199,0.304
200,0.307
201,0.309
202,0.312
203,0.314
204,0.317
205,0.319
206,0.32
207,0.322
208,0.325
209,0.328
210,0.33
211,0.331
212,0.333
213,0.336
214,0.338
215,0.341
216,0.342
217,0.344
218,0.347
219,0.349
220,0.352
221,0.354
222,0.355
223,0.358
224,0.36
225,0.363
226,0.365
227,0.366
228,0.369
229,0.372
230,0.375
231,0.377
232,0.38
233,0.383
234,0.386
235,0.389
236,0.392
237,0.395
238,0.398
239,0.4
240,0.401
241,0.404
242,0.407
243,0.41
244,0.412
245,0.413
246,0.416
247,0.419
248,0.422
249,0.423
250,0.425
251,0.428
252,0.431
253,0.434
254,0.435
255,0.437
256,0.44
257,0.443
258,0.446
259,0.447
260,0.449
261,0.452
262,0.455
263,0.458
264,0.462
265,0.465
266,0.468
267,0.47
268,0.471
269,0.474
270,0.478
271,0.481
272,0.482
273,0.484
274,0.487
275,0.49
276,0.493
277,0.494
278,0.497
279,0.5
280,0.503
281,0.505
282,0.507
283,0.51
284,0.513
285,0.516
286,0.517
287,0.52
288,0.523
289,0.527
290,0.528
291,0.53
292,0.533
293,0.537
294,0.54
295,0.544
296,0.547
297,0.55
298,0.551
299,0.554
300,0.557
301,0.561
302,0.563
303,0.564
304,0.568
305,0.571
306,0.575
307,0.578
308,0.582
309,0.585
310,0.586
311,0.589
312,0.592
313,0.596
314,0.598
315,0.599
316,0.603
317,0.607
318,0.609
319,0.61
320,0.614
321,0.617
322,0.621
323,0.625
324,0.628
325,0.632
326,0.633
327,0.636
328,0.639
329,0.643
330,0.644
331,0.647
332,0.65
333,0.654
334,0.656
335,0.658
336,0.662
337,0.665
338,0.668
339,0.669
340,0.673
341,0.677
342,0.679
343,0.68
344,0.684
345,0.688
346,0.691
347,0.692
348,0.696
349,0.7
350,0.703
351,0.707
352,0.711
353,0.714
354,0.715
355,0.719
356,0.723
357,0.726
358,0.727
359,0.731
360,0.735
361,0.738
362,0.742
363,0.746
364,0.749
365,0.75
366,0.754
367,0.758
368,0.761
369,0.762
370,0.766
371,0.77
372,0.773
373,0.774
374,0.778
375,0.782
376,0.784
377,0.787
378,0.791
379,0.795
380,0.796
381,0.799
382,0.803
383,0.807
384,0.808
385,0.811
386,0.815
387,0.819
388,0.824
389,0.828
390,0.831
391,0.832
392,0.836
393,0.84
394,0.843
395,0.844
396,0.849
397,0.853
398,0.854
399,0.857
400,0.861
401,0.866
402,0.87
403,0.874
404,0.877
405,0.878
406,0.883
407,0.887
408,0.889
409,0.891
410,0.896
411,0.9
412,0.901
413,0.904
414,0.909
415,0.913
416,0.917
417,0.922
418,0.924
419,0.926
420,0.93
421,0.935
422,0.936
423,0.939
424,0.944
425,0.948
426,0.953
427,0.957
428,0.959
429,0.961
430,0.966
431,0.97
432,0.971
433,0.975
434,0.979
435,0.983
436,0.984
437,0.988
438,0.993
439,0.994
440,0.997
441,1.002
442,1.006
443,1.007
444,1.011
445,1.016
446,1.018
447,1.02
448,1.025
449,1.029
450,1.03
451,1.034
452,1.039
453,1.041
454,1.043
455,1.048
456,1.053
457,1.057
458,1.062
459,1.064
460,1.067
461,1.071
462,1.076
463,1.081
464,1.086
465,1.088
466,1.09
467,1.095
468,1.099
469,1.1
470,1.105
471,1.109
472,1.111
473,1.114
474,1.119
475,1.123
476,1.124
477,1.129
478,1.133
479,1.134
480,1.138
481,1.143
482,1.146
483,1.148
484,1.153
485,1.158
486,1.163
487,1.167
488,1.169
489,1.172
490,1.177
491,1.181
492,1.182
493,1.187
494,1.192
495,1.193
496,1.197
497,1.202
498,1.205
499,1.207
500,1.212
501,1.216
502,1.217
503,1.222
504,1.227
505,1.228
506,1.232
507,1.237
508,1.24
509,1.242
510,1.247
511,1.251
512,1.252
513,1.257
514,1.262
515,1.263
516,1.267
517,1.272
518,1.275
519,1.277
520,1.282
521,1.286
522,1.288
523,1.293
524,1.298
525,1.303
526,1.308
527,1.31
528,1.313
529,1.318
530,1.321
531,1.324
532,1.329
533,1.333
534,1.334
535,1.339
536,1.344
537,1.345
538,1.35
539,1.355
540,1.357
541,1.36
542,1.365
543,1.368
544,1.371
545,1.376
546,1.38
547,1.381
548,1.387
549,1.392
550,1.397
551,1.402
552,1.403
553,1.408
554,1.413
555,1.415
556,1.418
557,1.424
558,1.427
559,1.429
560,1.435
561,1.438
562,1.44
563,1.445
564,1.45
565,1.451
566,1.456
567,1.462
568,1.467
569,1.472
570,1.474
571,1.478
572,1.483
573,1.485
574,1.489
575,1.494
576,1.497
577,1.5
578,1.505
579,1.509
580,1.511
581,1.516
582,1.52
583,1.522
584,1.527
585,1.532
586,1.533
587,1.539
588,1.544
589,1.55
590,1.555
591,1.561
592,1.566
593,1.567
594,1.572
595,1.578
596,1.579
597,1.583
598,1.589
599,1.591
600,1.595
601,1.6
602,1.602
603,1.606
604,1.612
605,1.614
606,1.617
607,1.623
608,1.626
609,1.629
610,1.634
611,1.637
612,1.64
613,1.646
614,1.649
615,1.652
616,1.657
617,1.661
618,1.663
619,1.669
620,1.673
621,1.675
622,1.68
623,1.684
624,1.686
625,1.692
626,1.696
627,1.698
628,1.704
